"","title","author","subject","abstract","date"
"74","frost prediction using machine learning methods in fars province","milad barooni, koorush ziarati, ali barooni","machine learning","one of the common hazards and issues in meteorology and agriculture is the problem of frost, chilling or freezing. this event occurs when the minimum ambient temperature falls below a certain value. this phenomenon causes a lot of damage to the country, especially fars province. solving this problem requires that, in addition to predicting the minimum temperature, we can provide enough time to implement the necessary measures. empirical methods have been provided by the food and agriculture organization (fao), which can predict the minimum temperature, but not in time. in addition to this, we can use machine learning methods to model the minimum temperature. in this study, we have used three methods gated recurrent unit (gru), temporal convolutional network (tcn) as deep learning methods, and gradient boosting (xgboost). a customized loss function designed for methods based on deep learning, which can be effective in reducing prediction errors. with methods based on deep learning models, not only do we observe a reduction in rmse error compared to empirical methods but also have more time to predict minimum temperature. thus, we can model the minimum temperature for the next 24 hours by having the current 24 hours. with the gradient boosting model (xgboost) we can keep the prediction time as deep learning and rmse error reduced. finally, we experimentally concluded that machine learning methods work better than empirical methods and xgboost model can have better performance in this problem among other implemented.",2024-01-21
"75","agricultural recommendation system based on deep learning: a multivariate weather forecasting approach","md zubair (1), md. shahidul salim (2), mehrab mustafy rahman (3), mohammad jahid ibna basher (1), shahin imran (4), iqbal h. sarker (5) ((1) chittagong university of engineering & technology, chittagong, bangladesh, (2) khulna university of engineering & technology, khulna, bangladesh, (3) islamic university of technology, gazipur, bangladesh, (4) khulna agricultural university, khulna, bangladesh, (5) edith cowan university, perth, australia)","machine learning","bangladesh is predominantly an agricultural country, where the agrarian sector plays an essential role in accelerating economic growth and enabling the food security of the people. the performance of this sector has an overwhelming impact on the primary macroeconomic objectives like food security, employment generation, poverty alleviation, human resources development, and other economic and social forces. although bangladesh's labor-intensive agriculture has achieved steady increases in food grain production, it often suffered from unfavorable weather conditions such as heavy rainfall, low temperature, and drought. consequently, these factors hinder the production of food substantially, putting the country's overall food security in danger. in order to have a profitable, sustainable, and farmer-friendly agricultural practice, this paper proposes a context-based crop recommendation system powered by a weather forecast model. with extensive evaluation, the multivariate stacked bi-lstm (three bi-lstm layers with a time distributed layer) network is employed as the weather forecasting model. the proposed weather model can forecast rainfall, temperature, humidity, and sunshine for any given location in bangladesh with an average r-squared value of 0.9824, and the model outperforms other state-of-the-art lstm models. these predictions guide our system in generating viable farming decisions. additionally, our full-fledged system is capable of alerting the farmers about extreme weather conditions so that preventive measures can be undertaken to protect the crops. finally, the system is also adept at making knowledge-based crop suggestions for the flood and drought-prone regions of bangladesh.",2024-01-21
"76","agricultural object detection with you look only once (yolo) algorithm: a bibliometric and systematic literature review","chetan m badgujar, alwin poulose, hao gan","computer vision and pattern recognition","vision is a major component in several digital technologies and tools used in agriculture. the object detector, you look only once (yolo), has gained popularity in agriculture in a relatively short span due to its state-of-the-art performance. yolo offers real-time detection with good accuracy and is implemented in various agricultural tasks, including monitoring, surveillance, sensing, automation, and robotics. the research and application of yolo in agriculture are accelerating rapidly but are fragmented and multidisciplinary. moreover, the performance characteristics (i.e., accuracy, speed, computation) of the object detector influence the rate of technology implementation and adoption in agriculture. thus, the study aims to collect extensive literature to document and critically evaluate the advances and application of yolo for agricultural object recognition. first, we conducted a bibliometric review of 257 articles to understand the scholarly landscape of yolo in agricultural domain. secondly, we conducted a systematic review of 30 articles to identify current knowledge, gaps, and modifications in yolo for specific agricultural tasks. the study critically assesses and summarizes the information on yolo's end-to-end learning approach, including data acquisition, processing, network modification, integration, and deployment. we also discussed task-specific yolo algorithm modification and integration to meet the agricultural object or environment-specific challenges. in general, yolo-integrated digital tools and technologies show the potential for real-time, automated monitoring, surveillance, and object handling to reduce labor, production cost, and environmental impact while maximizing resource efficiency. the study provides detailed documentation and significantly advances the existing knowledge on applying yolo in agriculture, which can greatly benefit the scientific community.",2024-01-18
"77","a method for characterizing disease emergence curves from paired pathogen detection and serology data","joshua hewitt, grete wilson-henjum, derek t. collins, jourdan m. ringenberg, christopher a. quintanal, robert pleszewski, jeffrey c. chandler, thomas j. deliberto, kim m. pepin","methodology","wildlife disease surveillance programs and research studies track infection and identify risk factors for wild populations, humans, and agriculture. often, several types of samples are collected from individuals to provide more complete information about an animal's infection history. methods that jointly analyze multiple data streams to study disease emergence and drivers of infection via epidemiological process models remain underdeveloped. joint-analysis methods can more thoroughly analyze all available data, more precisely quantifying epidemic processes, outbreak status, and risks. we contribute a paired data modeling approach that analyzes multiple samples from individuals. we use ""characterization maps"" to link paired data to epidemiological processes through a hierarchical statistical observation model. our approach can provide both bayesian and frequentist estimates of epidemiological parameters and state. we motivate our approach through the need to use paired pathogen and antibody detection tests to estimate parameters and infection trajectories for the widely applicable susceptible, infectious, recovered (sir) model. we contribute general formulas to link characterization maps to arbitrary process models and datasets and an extended sir model that better accommodates paired data. we find via simulation that paired data can more efficiently estimate sir parameters than unpaired data, requiring samples from 5-10 times fewer individuals. we then study sars-cov-2 in wild white-tailed deer (odocoileus virginianus) from three counties in the united states. estimates for average infectious times corroborate captive animal studies. our methods use general statistical theory to let applications extend beyond the sir model we consider, and to more complicated examples of paired data.",2024-01-18
"78","large sensory analysis of vegetables from conventional, organic and no-till practices","sébastien loustau (uppa), f lefer (uppa), s ducos (uppa)","physics and society","there is a growing interest in agriculture to address soil deterioration issues and achieve a sustainable agrosystem. many producers introduce no-till techniques and show significant yields with better ecosystem functioning, as well as improved carbon and water cycles. however, sensory analysis to compare vegetables from these practices are scarce. in this paper, we conduct triangle and hedonic tests over 15 panels of consumers for a total of more than 950 consumers. based on statistical hypothesis testing and maximum likelihood estimation, significant statistical differences (p < 0.05 and less) are produced for both triangle tests and hedonic ranking in some specific cases. these results show a trend for sensory preferences of no-till practices.",2024-01-17
"79","a framework for agricultural food supply chain using blockchain","sudarssan n","cryptography and security","the main aim of the paper is to create a trust and transparency in the food supply chain system, ensuring food safety for everyone with the help of blockchain technology. food supply chain is the process of tracing a crop from the farmer or producer to the buyer. with the advent of blockchain, providing a safe and fraud-free environment for the provision of numerous agricultural necessities has become much easier. because of the globalization of trade, the present supply chain market today includes various companies involving integration of data, complex transactions and distribution. information tamper resistance, supply-demand relationships, and traceable oversight are all difficulties that arise as a result of this. blockchain is a distributed ledger technology that can provide information that is resistant to tampering. this strategy can eliminate the need for a centralized trusted authority, intermediaries, and business histories, allowing for increased production and security while maintaining the highest levels of integrity, liability, and safety. in order to have an integrity and transparency in food supply chain in the agricultural sector, a framework is proposed here based on block chain and iot.",2024-01-14
"80","empowering africa: an in-depth exploration of the adoption of artificial intelligence across the continent","kinyua gikunda","computers and society","this paper explores the dynamic landscape of artificial intelligence (ai) adoption in africa, analysing its varied applications in addressing socio-economic challenges and fostering development. examining the african ai ecosystem, the study considers regional nuances, cultural factors, and infrastructural constraints shaping the deployment of ai solutions. case studies in healthcare, agriculture, finance, and education highlight ai's transformative potential for efficiency, accessibility, and inclusivity. the paper emphasizes indigenous ai innovations and international collaborations contributing to a distinct african ai ecosystem. ethical considerations, including data privacy and algorithmic bias, are addressed alongside policy frameworks supporting responsible ai implementation. the role of governmental bodies, regulations, and private sector partnerships is explored in creating a conducive ai development environment. challenges such as digital literacy gaps and job displacement are discussed, with proposed strategies for mitigation. in conclusion, the paper provides a nuanced understanding of ai in africa, contributing to sustainable development discussions and advocating for an inclusive and ethical ai ecosystem on the continent.",2023-12-28
"81","multispectral stereo-image fusion for 3d hyperspectral scene reconstruction","eric l. wisotzky, jost triller, anna hilsmann, peter eisert","image and video processing","spectral imaging enables the analysis of optical material properties that are invisible to the human eye. different spectral capturing setups, e.g., based on filter-wheel, push-broom, line-scanning, or mosaic cameras, have been introduced in the last years to support a wide range of applications in agriculture, medicine, and industrial surveillance. however, these systems often suffer from different disadvantages, such as lack of real-time capability, limited spectral coverage or low spatial resolution. to address these drawbacks, we present a novel approach combining two calibrated multispectral real-time capable snapshot cameras, covering different spectral ranges, into a stereo-system. therefore, a hyperspectral data-cube can be continuously captured. the combined use of different multispectral snapshot cameras enables both 3d reconstruction and spectral analysis. both captured images are demosaicked avoiding spatial resolution loss. we fuse the spectral data from one camera into the other to receive a spatially and spectrally high resolution video stream. experiments demonstrate the feasibility of this approach and the system is investigated with regard to its applicability for surgical assistance monitoring.",2023-12-15
"82","precipitation prediction using an ensemble of lightweight learners","xinzhe li, sun rui, yiming niu, yao liu","atmospheric and oceanic physics","precipitation prediction plays a crucial role in modern agriculture and industry. however, it poses significant challenges due to the diverse patterns and dynamics in time and space, as well as the scarcity of high precipitation events.
to address this challenge, we propose an ensemble learning framework that leverages multiple learners to capture the diverse patterns of precipitation distribution. specifically, the framework consists of a precipitation predictor with multiple lightweight heads (learners) and a controller that combines the outputs from these heads. the learners and the controller are separately optimized with a proposed 3-stage training scheme.
by utilizing provided satellite images, the proposed approach can effectively model the intricate rainfall patterns, especially for high precipitation events. it achieved 1st place on the core test as well as the nowcasting leaderboards of the weather4cast 2023 competition. for detailed implementation, please refer to our github repository at: this https url.",2023-11-30
"83","enhancing rural agricultural value chains through electric mobility services in ethiopia","clemens pizzinini, philipp rosner, david ziegler, markus lienkamp","software engineering","transportation is a constitutional part of most supply and value chains in modern economies. smallholder farmers in rural ethiopia face severe challenges along their supply and value chains. in particular, suitable, affordable, and available transport services are in high demand. to develop context-specific technical solutions, a problem-to-solution methodology based on the interaction with technology is developed. with this approach, we fill the gap between proven transportation assessment frameworks and general user-centered techniques. central to our approach is an electric test vehicle that is implemented in rural supply and value chains for research, development, and testing. based on our objective and the derived methodological requirements, a set of existing methods is selected. local partners are integrated in an organizational framework that executes major parts of this research endeavour in arsi zone, oromia region, ethiopia.",2024-01-17
"84","segment anything model can not segment anything: assessing ai foundation model's generalizability in permafrost mapping","wenwen li, chia-yu hsu, sizhe wang, yezhou yang, hyunho lee, anna liljedahl, chandi witharana, yili yang, brendan m. rogers, samantha t. arundel, matthew b. jones, kenton mchenry, patricia solis","computer vision and pattern recognition","this paper assesses trending ai foundation models, especially emerging computer vision foundation models and their performance in natural landscape feature segmentation. while the term foundation model has quickly garnered interest from the geospatial domain, its definition remains vague. hence, this paper will first introduce ai foundation models and their defining characteristics. built upon the tremendous success achieved by large language models (llms) as the foundation models for language tasks, this paper discusses the challenges of building foundation models for geospatial artificial intelligence (geoai) vision tasks. to evaluate the performance of large ai vision models, especially meta's segment anything model (sam), we implemented different instance segmentation pipelines that minimize the changes to sam to leverage its power as a foundation model. a series of prompt strategies was developed to test sam's performance regarding its theoretical upper bound of predictive accuracy, zero-shot performance, and domain adaptability through fine-tuning. the analysis used two permafrost feature datasets, ice-wedge polygons and retrogressive thaw slumps because (1) these landform features are more challenging to segment than manmade features due to their complicated formation mechanisms, diverse forms, and vague boundaries; (2) their presence and changes are important indicators for arctic warming and climate change. the results show that although promising, sam still has room for improvement to support ai-augmented terrain mapping. the spatial and domain generalizability of this finding is further validated using a more general dataset eurocrop for agricultural field mapping. finally, we discuss future research directions that strengthen sam's applicability in challenging geospatial domains.",2024-01-16
"85","unsupervised pre-training for 3d leaf instance segmentation","gianmarco roggiolani, federico magistri, tiziano guadagnino, jens behley, cyrill stachniss","computer vision and pattern recognition","crops for food, feed, fiber, and fuel are key natural resources for our society. monitoring plants and measuring their traits is an important task in agriculture often referred to as plant phenotyping. traditionally, this task is done manually, which is time- and labor-intensive. robots can automate phenotyping providing reproducible and high-frequency measurements. today's perception systems use deep learning to interpret these measurements, but require a substantial amount of annotated data to work well. obtaining such labels is challenging as it often requires background knowledge on the side of the labelers. this paper addresses the problem of reducing the labeling effort required to perform leaf instance segmentation on 3d point clouds, which is a first step toward phenotyping in 3d. separating all leaves allows us to count them and compute relevant traits as their areas, lengths, and widths. we propose a novel self-supervised task-specific pre-training approach to initialize the backbone of a network for leaf instance segmentation. we also introduce a novel automatic postprocessing that considers the difficulty of correctly segmenting the points close to the stem, where all the leaves petiole overlap. the experiments presented in this paper suggest that our approach boosts the performance over all the investigated scenarios. we also evaluate the embeddings to assess the quality of the fully unsupervised approach and see a higher performance of our domain-specific postprocessing.",2024-01-16
"86","multi-scale analysis of agricultural drought propagation on the iberian peninsula using non-parametric indices","m. possega, m. garcía-valdecasas ojeda, s.r. gámiz-fortis","atmospheric and oceanic physics","the present study examined a multi-year reanalysis dataset (era5-land) including numerous drought events across the iberian peninsula, with a specific emphasis on the 2005 episode. the mechanisms underlying the transition from meteorological to agricultural drought and its features were investigated. various non-parametric standardized drought indices were utilized. for meteorological droughts, the standardized precipitation-evapotranspiration index (spei) was employed, while the standardized soil moisture index (ssi), multivariate standardized drought index (msdi), and standard precipitation, evapotranspiration and soil moisture index (spesmi) were utilized for agricultural droughts, while their ability to identify relative vegetation stress in areas affected by severe droughts was investigated using the fraction of absorbed photosynthetically active radiation (fapar) anomaly provided by the copernicus european drought observatory (edo). a statistical approach based on run theory was employed to analyze several characteristics of drought propagation, such as response time scale, propagation probability, and lag time at monthly, seasonal, and six-month time scales. the retrieved response time scale was fast, about 1-2 months, and the probability of occurrence increased with the severity of the originating meteorological drought. the duration of agricultural drought was shorter than that of meteorological drought, with a delayed onset but the same term. the results obtained by multi-variate indices showed a more rapid propagation process and a tendency to identify more severe events than uni-variate indices. in general terms, agricultural indices were found to be effective in assessing vegetation stress in the iberian peninsula. a newly developed combined agricultural drought index was found to balance the characteristics of the other adopted indices and may be useful for future studies.",2024-01-14
"87","the ""pac-man'' gripper: tactile sensing and grasping through thin-shell buckling","kieran barvenik, zachary coogan, gabriele librandi, matteo pezzulla, eleonora tubaldi","robotics","soft and lightweight grippers have greatly enhanced the performance of robotic manipulators in handling complex objects with varying shape, texture, and stiffness. however, the combination of universal grasping with passive sensing capabilities still presents challenges. to overcome this limitation, we introduce a fluidic soft gripper, named the ``pac-man'' gripper, based on the buckling of soft, thin hemispherical shells. leveraging a single fluidic pressure input, the soft gripper can encapsulate slippery and delicate objects while passively providing information on this physical interaction. guided by analytical, numerical, and experimental tools, we explore the novel grasping principle of this mechanics-based soft gripper. first, we characterize the buckling behavior of a free hemisphere as a function of its geometric parameters. inspired by the free hemisphere's two-lobe mode shape ideal for grasping purposes, we demonstrate that the gripper can perform dexterous manipulation and gentle gripping of fragile objects in confined environments. last, we prove the soft gripper's embedded capability of detecting contact, grasping, and release conditions during the interaction with an unknown object. this simple buckling-based soft gripper opens new avenues for the design of adaptive gripper morphologies with applications ranging from medical and agricultural robotics to space and underwater exploration.",2023-12-21
"88","immature green apple detection and sizing in commercial orchards using yolov8 and shape fitting techniques","ranjan sapkota, dawood ahmed, martin churuvija, manoj karkee","computer vision and pattern recognition","detecting and estimating size of apples during the early stages of growth is crucial for predicting yield, pest management, and making informed decisions related to crop-load management, harvest and post-harvest logistics, and marketing. traditional fruit size measurement methods are laborious and time-consuming. this study employs the state-of-the-art yolov8 object detection and instance segmentation algorithm in conjunction with geometric shape fitting techniques on 3d point cloud data to accurately determine the size of immature green apples (or fruitlet) in a commercial orchard environment. the methodology utilized two rgb-d sensors: the intel realsense d435i and the microsoft azure kinect dk. notably, the yolov8 instance segmentation models exhibited proficiency in immature green apple detection, with the yolov8m-seg model clinching the highest ap@0.5 and ap@0.75 scores of 0.94 and 0.91, respectively. leveraging the ellipsoid fitting technique on images from the azure kinect, we observed remarkable metrics, including an rmse of 2.35, mae of 1.66, mape of 6.15, and an r-squared value of 0.9. challenges such as partial occlusion, where yolov8 sometimes misinterpreted immature green apple clusters, were recognized. in a comparison of 102 outdoor samples, the microsoft azure kinect showed better performance than the intel realsense d435i, as supported by the mae data. this study emphasizes the combined effectiveness of shape-fitting methods and 3d sensors in improving fruitlet sizing for agriculture.",2023-12-08
"89","an annotated grain kernel image database for visual quality inspection","lei fan, yiwen ding, dongdong fan, yong wu, hongxia chu, maurice pagnucco, yang song","computer vision and pattern recognition","we present a machine vision-based database named grainset for the purpose of visual quality inspection of grain kernels. the database contains more than 350k single-kernel images with experts' annotations. the grain kernels used in the study consist of four types of cereal grains including wheat, maize, sorghum and rice, and were collected from over 20 regions in 5 countries. the surface information of each kernel is captured by our custom-built device equipped with high-resolution optic sensor units, and corresponding sampling information and annotations include collection location and time, morphology, physical size, weight, and damage & unsound grain categories provided by senior inspectors. in addition, we employed a commonly used deep learning model to provide classification results as a benchmark. we believe that our grainset will facilitate future research in fields such as assisting inspectors in grain quality inspections, providing guidance for grain storage and trade, and contributing to applications of smart agriculture.",2023-11-20
"90","rag vs fine-tuning: pipelines, tradeoffs, and a case study on agriculture","angels balaguer, vinamra benara, renato luiz de freitas cunha, roberto de m. estevão filho, todd hendry, daniel holstein, jennifer marsman, nick mecklenburg, sara malvar, leonardo o. nunes, rafael padilha, morris sharp, bruno silva, swati sharma, vijay aski, ranveer chandra","computation and language","there are two common ways in which developers are incorporating proprietary and domain-specific data when building applications of large language models (llms): retrieval-augmented generation (rag) and fine-tuning. rag augments the prompt with the external data, while fine-tuning incorporates the additional knowledge into the model itself. however, the pros and cons of both approaches are not well understood. in this paper, we propose a pipeline for fine-tuning and rag, and present the tradeoffs of both for multiple popular llms, including llama2-13b, gpt-3.5, and gpt-4. our pipeline consists of multiple stages, including extracting information from pdfs, generating questions and answers, using them for fine-tuning, and leveraging gpt-4 for evaluating the results. we propose metrics to assess the performance of different stages of the rag and fine-tuning pipeline. we conduct an in-depth study on an agricultural dataset. agriculture as an industry has not seen much penetration of ai, and we study a potentially disruptive application - what if we could provide location-specific insights to a farmer? our results show the effectiveness of our dataset generation pipeline in capturing geographic-specific knowledge, and the quantitative and qualitative benefits of rag and fine-tuning. we see an accuracy increase of over 6 p.p. when fine-tuning the model and this is cumulative with rag, which increases accuracy by 5 p.p. further. in one particular experiment, we also demonstrate that the fine-tuned model leverages information from across geographies to answer specific questions, increasing answer similarity from 47% to 72%. overall, the results point to how systems built using llms can be adapted to respond and incorporate knowledge across a dimension that is critical for a specific industry, paving the way for further applications of llms in other industrial domains.",2024-01-16
"91","gd-caf: graph dual-stream convolutional attention fusion for precipitation nowcasting","lorand vatamany, siamak mehrkanoon","machine learning","accurate precipitation nowcasting is essential for various applications, including flood prediction, disaster management, optimizing agricultural activities, managing transportation routes and renewable energy. while several studies have addressed this challenging task from a sequence-to-sequence perspective, most of them have focused on a single area without considering the existing correlation between multiple disjoint regions. in this paper, we formulate precipitation nowcasting as a spatiotemporal graph sequence nowcasting problem. in particular, we introduce graph dual-stream convolutional attention fusion (gd-caf), a novel approach designed to learn from historical spatiotemporal graph of precipitation maps and nowcast future time step ahead precipitation at different spatial locations. gd-caf consists of spatio-temporal convolutional attention as well as gated fusion modules which are equipped with depthwise-separable convolutional operations. this enhancement enables the model to directly process the high-dimensional spatiotemporal graph of precipitation maps and exploits higher-order correlations between the data dimensions. we evaluate our model on seven years of precipitation maps across europe and its neighboring areas collected from the era5 dataset, provided by copernicus climate change services. the experimental results reveal the superior performance of the gd-caf model compared to the other examined models. additionally, visualizations of averaged seasonal spatial and temporal attention scores across the test set offer valuable insights into the most robust connections between diverse regions or time steps.",2024-01-15
"92","understanding the indirect effects of interactive systems within systems of systems","laetitia bornes (lii), catherine letondal (lii), rob vingerhoeds (isae-supaero)","human-computer interaction","until recently, research into the sustainable design of interactive systems has primarily focused on the direct material impact of a system, through improving its energy efficiency and optimizing its lifecycle. yet the way a system is designed and marketed often has wider repercussions, such as rebound effects, and systemic change in practices. these effects are harder to assess (and to anticipate) than the direct physical impact of the construction and use of the system itself. current tools are unable to account for the complexity of these effects: the underlying causal mechanisms, their multi-level nature, their different temporalities, and the variety of their consequences (environmental and societal). this is why we are seeking to develop a specific methodology and tool, inspired by systemic design and system dynamics. these are intended for decision-makers and designers of interactive systems within systems of systems (for example, in the fields of agricultural robotics or public transportation). in this paper, we present this modeling approach and our prototype tool through the example of a second-hand clothing sales platform.",2024-01-15
"93","cross domain early crop mapping using cropgan and cnn classifier","yiqun wang, hui huang, radu state","computer vision and pattern recognition","driven by abundant satellite imagery, machine learning-based approaches have recently been promoted to generate high-resolution crop cultivation maps to support many agricultural applications. one of the major challenges faced by these approaches is the limited availability of ground truth labels. in the absence of ground truth, existing work usually adopts the ""direct transfer strategy"" that trains a classifier using historical labels collected from other regions and then applies the trained model to the target region. unfortunately, the spectral features of crops exhibit inter-region and inter-annual variability due to changes in soil composition, climate conditions, and crop progress, the resultant models perform poorly on new and unseen regions or years. this paper presents the crop generative adversarial network (cropgan) to address the above cross-domain issue. our approach does not need labels from the target domain. instead, it learns a mapping function to transform the spectral features of the target domain to the source domain (with labels) while preserving their local structure. the classifier trained by the source domain data can be directly applied to the transformed data to produce high-accuracy early crop maps of the target domain. comprehensive experiments across various regions and years demonstrate the benefits and effectiveness of the proposed approach. compared with the widely adopted direct transfer strategy, the f1 score after applying the proposed cropgan is improved by 13.13% - 50.98%",2024-01-15
"94","weak labeling for cropland mapping in africa","gilles quentin hacheme, akram zaytar, girmaw abebe tadesse, caleb robinson, rahul dodhia, juan m. lavista ferres, stephen wood","computer vision and pattern recognition","cropland mapping can play a vital role in addressing environmental, agricultural, and food security challenges. however, in the context of africa, practical applications are often hindered by the limited availability of high-resolution cropland maps. such maps typically require extensive human labeling, thereby creating a scalability bottleneck. to address this, we propose an approach that utilizes unsupervised object clustering to refine existing weak labels, such as those obtained from global cropland maps. the refined labels, in conjunction with sparse human annotations, serve as training data for a semantic segmentation network designed to identify cropland areas. we conduct experiments to demonstrate the benefits of the improved weak labels generated by our method. in a scenario where we train our model with only 33 human-annotated labels, the f_1 score for the cropland category increases from 0.53 to 0.84 when we add the mined negative labels.",2024-01-13
"95","agspnet: a framework for parcel-scale crop fine-grained semantic change detection from uav high-resolution imagery with agricultural geographic scene constraints","shaochun li, yanjun wang, hengfan cai, lina deng, yunhao lin","computer vision and pattern recognition","real-time and accurate information on fine-grained changes in crop cultivation is of great significance for crop growth monitoring, yield prediction and agricultural structure adjustment. aiming at the problems of serious spectral confusion in visible high-resolution unmanned aerial vehicle (uav) images of different phases, interference of large complex background and salt-and-pepper noise by existing semantic change detection (scd) algorithms, in order to effectively extract deep image features of crops and meet the demand of agricultural practical engineering applications, this paper designs and proposes an agricultural geographic scene and parcel-scale constrained scd framework for crops (agspnet). agspnet framework contains three parts: agricultural geographic scene (ags) division module, parcel edge extraction module and crop scd module. meanwhile, we produce and introduce an uav image scd dataset (cscd) dedicated to agricultural monitoring, encompassing multiple semantic variation types of crops in complex geographical scene. we conduct comparative experiments and accuracy evaluations in two test areas of this dataset, and the results show that the crop scd results of agspnet consistently outperform other deep learning scd models in terms of quantity and quality, with the evaluation metrics f1-score, kappa, oa, and miou obtaining improvements of 0.038, 0.021, 0.011 and 0.062, respectively, on average over the sub-optimal method. the method proposed in this paper can clearly detect the fine-grained change information of crop types in complex scenes, which can provide scientific and technical support for smart agriculture monitoring and management, food policy formulation and food security assurance.",2024-01-11
"96","harnessing artificial intelligence for sustainable agricultural development in africa: opportunities, challenges, and impact","kinyua gikunda","computers and society","this paper explores the transformative potential of artificial intelligence (ai) in the context of sustainable agricultural development across diverse regions in africa. delving into opportunities, challenges, and impact, the study navigates through the dynamic landscape of ai applications in agriculture. opportunities such as precision farming, crop monitoring, and climate-resilient practices are examined, alongside challenges related to technological infrastructure, data accessibility, and skill gaps. the article analyzes the impact of ai on smallholder farmers, supply chains, and inclusive growth. ethical considerations and policy implications are also discussed, offering insights into responsible ai integration. by providing a nuanced understanding, this paper contributes to the ongoing discourse on leveraging ai for fostering sustainability in african agriculture.",2024-01-03
"97","deep learning meets mechanism design: key results and some novel applications","v. udaya sankar, vishisht srihari rao, y. narahari","computer science and game theory","mechanism design is essentially reverse engineering of games and involves inducing a game among strategic agents in a way that the induced game satisfies a set of desired properties in an equilibrium of the game. desirable properties for a mechanism include incentive compatibility, individual rationality, welfare maximisation, revenue maximisation (or cost minimisation), fairness of allocation, etc. it is known from mechanism design theory that only certain strict subsets of these properties can be simultaneously satisfied exactly by any given mechanism. often, the mechanisms required by real-world applications may need a subset of these properties that are theoretically impossible to be simultaneously satisfied. in such cases, a prominent recent approach is to use a deep learning based approach to learn a mechanism that approximately satisfies the required properties by minimizing a suitably defined loss function. in this paper, we present, from relevant literature, technical details of using a deep learning approach for mechanism design and provide an overview of key results in this topic. we demonstrate the power of this approach for three illustrative case studies: (a) efficient energy management in a vehicular network (b) resource allocation in a mobile network (c) designing a volume discount procurement auction for agricultural inputs. section 6 concludes the paper.",2024-01-11
"98","revealed comparative advantages in scientific and technological disciplines in uruguay","nestor gandelman, osiris jorge parcero, matilde pereira, flavia roldan","general economics","based on bibliometric information from scopus for the period 1996-2019, this document characterizes the evolution of uruguayan scientific production and establishes the areas in which the country has a revealed comparative advantage (rca). methodologically, it is proposed that there is a rca in an area if this area has a greater share in national scientific production than the share of the area in world scientific production. the evidence presented considers two measurements of scientific production (published articles and citations) and three levels of aggregation in the areas (a minor one with 5 large areas, a more detailed one with 27 disciplines and another even more granular with more than 300 disaggregations). within health sciences there is a rca in veterinary, nursing and medicine. within life sciences there is a rca in agricultural and biological sciences, immunology and microbiology and biochemistry, genetics and molecular biology. in physical sciences there is only a rca in environmental science and in social sciences only in economics, econometrics and finance.",2024-01-09
"99","dedustnet: a frequency-dominated swin transformer-based wavelet network for agricultural dust removal","shengli zhang, zhiyong tao, sen lin","computer vision and pattern recognition","while dust significantly affects the environmental perception of automated agricultural machines, the existing deep learning-based methods for dust removal require further research and improvement in this area to improve the performance and reliability of automated agricultural machines in agriculture. we propose an end-to-end trainable learning network (dedustnet) to solve the real-world agricultural dust removal task. to our knowledge, dedustnet is the first time swin transformer-based units have been used in wavelet networks for agricultural image dusting. specifically, we present the frequency-dominated block (dwtformer block and idwtformer block) by adding a spatial features aggregation scheme (sfas) to the swin transformer and combining it with the wavelet transform, the dwtformer block and idwtformer block, alleviating the limitation of the global receptive field of swin transformer when dealing with complex dusty backgrounds. furthermore, we propose a cross-level information fusion module to fuse different levels of features and effectively capture global and long-range feature relationships. in addition, we present a dilated convolution module to capture contextual information guided by wavelet transform at multiple scales, which combines the advantages of wavelet transform and dilated convolution. our algorithm leverages deep learning techniques to effectively remove dust from images while preserving the original structural and textural features. compared to existing state-of-the-art methods, dedustnet achieves superior performance and more reliable results in agricultural image dedusting, providing strong support for the application of agricultural machinery in dusty environments. additionally, the impressive performance on real-world hazy datasets and application tests highlights dedustnet superior generalization ability and computer vision-related application performance.",2024-01-09
"100","testing human-robot interaction in virtual reality: experience from a study on speech act classification","sara kaszuba (1), sandeep reddy sabbella (1), francesco leotta (1), pascal serrarens (2), daniele nardi (1) ((1) sapienza università di roma, rome, italy (2) paleblue, stavanger, norway)","robotics","in recent years, an increasing number of human-robot interaction (hri) approaches have been implemented and evaluated in virtual reality (vr), as it allows to speed-up design iterations and makes it safer for the final user to evaluate and master the hri primitives. however, identifying the most suitable vr experience is not straightforward. in this work, we evaluate how, in a smart agriculture scenario, immersive and non-immersive vr are perceived by users with respect to a speech act understanding task. in particular, we collect opinions and suggestions from the 81 participants involved in both experiments to highlight the strengths and weaknesses of these different experiences.",2024-01-09
